Pathway	ERR1960500	ERR1960501	ERR1960503	ERR1960504	ERR1960505	ERR1960506	ERR1960507	ERR1960508	ERR1960509	ERR1960510	ERR1960511	ERR1960512	ERR1960513	ERR1960515	ERR3078909	ERR3078910	ERR3078911	ERR3078912	ERR3078913	ERR3890090	ERR3890091	ERR3890092	ERR3890093	ERR3890094	ERR3890095	ERR3890096	ERR3890097	ERR3890098	ERR3890099	ERR3890100	ERR3890102	ERR3890103	ERR3890104	ERR3890105	ERR3890106	ERR3890107	ERR3890108	ERR3890109	ERR3890110	ERR3890111	ERR3890112	SRR12277191	SRR12277192	SRR12277193	SRR12277194	SRR12277195	SRR12277196	SRR12277197	SRR12277198	SRR12277199	SRR12277200	SRR12277201	SRR12277202	SRR13106729	SRR13106730	SRR13106731	SRR13106732	SRR13106733	SRR13106734	SRR13106735	SRR13106736	SRR13106737	SRR13106738	SRR13106739	SRR13106740
UNMAPPED	0.978553	0.881193	0.858171	0.806722	0.782984	0.889943	0.958179	0.837871	0.898555	0.802687	0.908233	0.800188	0.855094	0.83225	0.855294	0.821481	0.837434	0.823091	0.824602	0.915528	0.887355	0.925531	0.939462	0.945038	0.943265	0.959784	0.926575	0.922522	0.93621	0.907449	0.936463	0.905609	0.85681	0.86354	0.902162	0.922615	0.929467	0.900306	0.930761	0.109326	0	0.75415	0.84074	0.826432	0.838569	0.825877	0.840271	0.834958	0.800453	0.753282	0.756362	0.865175	0.862441	0	0	0.798317	0.801251	0.803044	0.800845	0.863208	0.856481	0.878374	0.954678	0.85687	0.846767
UNINTEGRATED	0.0212531	0.110287	0.130136	0.176973	0.201284	0.100973	0.040524	0.151531	0.0945529	0.178842	0.0831702	0.182355	0.132855	0.151568	0.134662	0.16413	0.150034	0.164113	0.16265	0.0767799	0.103217	0.0684544	0.0555873	0.0504685	0.0520311	0.0368593	0.0668665	0.0702921	0.0585765	0.0845132	0.0577746	0.0866727	0.130413	0.12675	0.0888878	0.0701957	0.0644036	0.091034	0.0628208	0.812069	0	0.228865	0.147944	0.161686	0.150305	0.16142	0.148327	0.153129	0.186101	0.229356	0.226729	0.126385	0.12772	0	0	0.187002	0.186125	0.181607	0.185292	0.122952	0.129154	0.114956	0.0450405	0.128849	0.137846
UNINTEGRATED|g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	0	0	0.0043894	0.0120593	0.0145034	0.00297849	0	0	0	0	0	0	0	0	0.0109928	0.00439937	0.00340323	0.0043227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Chlorobium.s__Chlorobium_limicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000154475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Enterococcus.s__Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0771478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Janthinobacterium.s__Janthinobacterium_sp_AD80	0	0	0	2.07E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_fermentum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00375631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Limnoraphis.s__Limnoraphis_robusta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0049099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Listeria.s__Listeria_monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0120861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Microcoleus.s__Microcoleus_vaginatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000551134	0	0	0	0	0	0	0	0	0	0	0	0
