metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
site	HISDEG.PWY..L.histidine.degradation.I	swissAlps	0.704427336063632	0.169910434976908	65	0	0.000108002274190348	0.0289446094830133
site	HISDEG.PWY..L.histidine.degradation.I.unclassified	swissAlps	0.704874829294945	0.167921067161677	65	0	9.05761828773222e-05	0.0289446094830133
site	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	swissAlps	0.465000934310237	0.125574588018886	65	0	0.000465599087846542	0.0328876703636793
site	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..unclassified	swissAlps	0.472850063281653	0.121202063213796	65	0	0.000244450372731324	0.0328876703636793
site	PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..unclassified	canada	-0.451629814543832	0.121052459430265	65	0	0.000425736088258031	0.0328876703636793
site	PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing..unclassified	swissAlps	0.46557540800488	0.125410527180767	65	0	0.000451736974323151	0.0328876703636793
site	PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria.	swissAlps	0.497269388221718	0.134890017017832	65	0	0.000490860751696706	0.0328876703636793
site	PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria..unclassified	swissAlps	0.503286172046448	0.130883675007047	65	0	0.000293765361641124	0.0328876703636793
site	P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase..unclassified	canada	-0.631687589650644	0.176417641175842	65	0	0.00068677621697748	0.0368112052299929
site	PWY.7400..L.arginine.biosynthesis.IV..archaebacteria.	canada	-0.448821648066437	0.124464479321459	65	0	0.000633926696235147	0.0368112052299929
site	P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.	canada	-0.629997309207454	0.177759072788566	65	0	0.000770244708381246	0.0373441523764471
site	PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	swissAlps	0.456738578059653	0.129833871347161	65	0	0.000836063112905532	0.0373441523764471
site	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..unclassified	swissAlps	0.41842487488544	0.120456218115468	65	0	0.000959187209215078	0.0381982220496203
site	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..unclassified	swissAlps	0.417384501390134	0.120598572760856	65	0	0.000997714755027397	0.0381982220496203
site	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..unclassified	swissAlps	0.407647391276147	0.118962021730243	65	0	0.00110878241184923	0.0396204915167457
site	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	swissAlps	0.411201715898722	0.12451117504028	65	0	0.00161794070420098	0.0537023776213294
site	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	swissAlps	0.40969165662287	0.124699057636442	65	0	0.00170324705142276	0.0537023776213294
site	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	swissAlps	0.400928611049556	0.123077818117808	65	0	0.0018518449819714	0.0551438283520374
site	PANTO.PWY..phosphopantothenate.biosynthesis.I.unclassified	swissAlps	0.479966463575294	0.154565907716303	65	0	0.00290111278577873	0.0818419185882843
site	UNINTEGRATED.g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	canada	-0.190523473363844	0.0622572429553756	65	0	0.00330470577664452	0.0885661148140732
site	PANTO.PWY..phosphopantothenate.biosynthesis.I	swissAlps	0.47341588443416	0.15801545161772	65	0	0.00397258331510156	0.101395459852116
site	PWY.6823..molybdopterin.biosynthesis.unclassified	swissAlps	0.398784069355141	0.134318127492743	65	0	0.00428980480385944	0.104515244312212
site	COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic..unclassified	swissAlps	0.494016406730135	0.171965148487145	65	0	0.0056178567753629	0.11293288612651
site	PWY.5686..UMP.biosynthesis.I.unclassified	swissAlps	0.282655761407811	0.0988878532299491	65	0	0.00584705205372266	0.11293288612651
site	PWY.6823..molybdopterin.biosynthesis	swissAlps	0.393389417680802	0.137783809487285	65	0	0.00589947912601171	0.11293288612651
site	PWY.7790..UMP.biosynthesis.II.unclassified	swissAlps	0.282655761407812	0.0982333046926364	65	0	0.00554619144515758	0.11293288612651
site	PWY.7791..UMP.biosynthesis.III.unclassified	swissAlps	0.282655761407812	0.0982333046926364	65	0	0.00554619144515758	0.11293288612651
site	PWY0.1296..purine.ribonucleosides.degradation.unclassified	canada	-0.55354282523131	0.191475228963478	65	0	0.0053410137026027	0.11293288612651
site	PWY0.1296..purine.ribonucleosides.degradation	canada	-0.545800923307412	0.194714333506453	65	0	0.00680741827853347	0.125819868872205
site	UNINTEGRATED.g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	russia	-0.190523473363844	0.0716384243419862	65	0	0.0100203673745477	0.126878153400819
site	UNINTEGRATED.g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	swissAlps	-0.190523473363844	0.0716384243419862	65	0	0.0100203673745477	0.126878153400819
site	COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.	swissAlps	0.486319087496931	0.175113080263439	65	0	0.00730607770236596	0.126878153400819
site	PANTO.PWY..phosphopantothenate.biosynthesis.I	norway	0.552528516796476	0.209264376633025	65	0	0.0105414754982957	0.126878153400819
site	PANTO.PWY..phosphopantothenate.biosynthesis.I.unclassified	norway	0.548451040402586	0.20469604710064	65	0	0.00950640667871341	0.126878153400819
site	PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate..unclassified	swissAlps	0.309174145469511	0.113448433180743	65	0	0.0084079294041613	0.126878153400819
site	PWY.5686..UMP.biosynthesis.I	swissAlps	0.276876533346631	0.102075273140589	65	0	0.00870115527111017	0.126878153400819
site	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.unclassified	swissAlps	0.334819127373625	0.126603030279081	65	0	0.0104225209776707	0.126878153400819
site	PWY.6123..inosine.5..phosphate.biosynthesis.I.unclassified	swissAlps	0.33968326723686	0.127735662306965	65	0	0.0100269492812133	0.126878153400819
site	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.unclassified	swissAlps	0.334819127373625	0.126603030279081	65	0	0.0104225209776707	0.126878153400819
site	PWY.6700..queuosine.biosynthesis.I..de.novo.	swissAlps	0.316202143549923	0.119938086932816	65	0	0.0106520837743225	0.126878153400819
site	PWY.6700..queuosine.biosynthesis.I..de.novo..unclassified	swissAlps	0.322995401640283	0.117560507493727	65	0	0.00791856168411611	0.126878153400819
site	PWY.7663..gondoate.biosynthesis..anaerobic..unclassified	canada	-0.307716926588076	0.116277740630667	65	0	0.0103742380016026	0.126878153400819
site	PWY.7663..gondoate.biosynthesis..anaerobic..unclassified	russia	-0.353033831177564	0.133798956224224	65	0	0.0105915683588187	0.126878153400819
site	PWY.7790..UMP.biosynthesis.II	swissAlps	0.276876533346631	0.102075273140589	65	0	0.00870115527111017	0.126878153400819
site	PWY.7791..UMP.biosynthesis.III	swissAlps	0.276876533346631	0.102075273140589	65	0	0.00870115527111017	0.126878153400819
site	PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	swissAlps	0.305266481190898	0.116240894889398	65	0	0.0109426334771313	0.127497470146217
site	PWY.7663..gondoate.biosynthesis..anaerobic.	russia	-0.364387486235492	0.139186004006963	65	0	0.0111798154792392	0.127497470146217
site	UNINTEGRATED.g__Bradyrhizobium.s__Bradyrhizobium_erythrophlei	norway	0.241532648618523	0.0948728118637776	65	0	0.0134875130580298	0.14829186444915
site	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	swissAlps	0.328150609242615	0.129403604681579	65	0	0.0138390334897195	0.14829186444915
site	PWY.6123..inosine.5..phosphate.biosynthesis.I	swissAlps	0.33052128272726	0.130727154826488	65	0	0.0141098602367661	0.14829186444915
site	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	swissAlps	0.328150609242615	0.129403604681579	65	0	0.0138390334897195	0.14829186444915
site	PWY.7663..gondoate.biosynthesis..anaerobic.	canada	-0.304591251242672	0.120959344751679	65	0	0.0144838640947967	0.149295214515597
site	HISDEG.PWY..L.histidine.degradation.I.unclassified	norway	0.541775402825709	0.222382666273378	65	0	0.0178267579916642	0.180285703462868
site	HISDEG.PWY..L.histidine.degradation.I	norway	0.54218156655293	0.225017242901715	65	0	0.0190586910399217	0.189175155507371
site	NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I.unclassified	swissAlps	0.280112946054882	0.116654337388411	65	0	0.0194561019935778	0.18960855761014
site	PWY.7977..L.methionine.biosynthesis.IV	canada	-0.256382194917039	0.107118787287169	65	0	0.0198360107012798	0.189858959569392
site	PWY.7977..L.methionine.biosynthesis.IV.unclassified	canada	-0.249707427728301	0.104695322016392	65	0	0.0202509990556388	0.190430447260042
site	NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	swissAlps	0.275526513730059	0.119142680405339	65	0	0.0241931023241264	0.223577635271237
site	HSERMETANA.PWY..L.methionine.biosynthesis.III	canada	-0.24374732137689	0.105906547385505	65	0	0.0248499459646043	0.225755441305558
